Time	Ipri_tank
0.001998805	4.255732335
0.00199881	4.249953179
0.001998815	4.243168746
0.00199882	4.235382619
0.001998825	4.226598605
0.00199883	4.216820685
0.001998835	4.206053063
0.00199884	4.194300232
0.001998845	4.181567135
0.00199885	4.167858606
0.001998855	4.15317993
0.00199886	4.137536621
0.001998865	4.120934307
0.00199887	4.103378956
0.001998875	4.084876764
0.00199888	4.065434155
0.001998885	4.045057722
0.00199889	4.0237544
0.001998895	4.001531181
0.0019989	3.978395398
0.001998905	3.954354668
0.00199891	3.92941655
0.001998915	3.903589175
0.00199892	3.876880726
0.001998925	3.849299446
0.00199893	3.82085409
0.001998935	3.791553297
0.00199894	3.761406219
0.001998945	3.730421952
0.00199895	3.69860993
0.001998955	3.665979762
0.00199896	3.632541222
0.001998965	3.598304261
0.00199897	3.563279108
0.001998975	3.527476053
0.00199898	3.490905669
0.001998985	3.453578699
0.00199899	3.415505887
0.001998995	3.376698373
0.001999	3.33716747
0.001999005	3.093283226
0.00199901	2.782337162
0.001999015	2.810467549
0.00199902	3.056636615
0.001999025	3.067049079
0.00199903	2.836498709
0.001999035	2.819967762
0.00199904	3.043754049
0.001999045	3.052633701
0.00199905	2.799154544
0.001999055	2.853537524
0.00199906	2.915509839
0.001999065	2.918098716
0.00199907	2.861217126
0.001999075	2.803838669
0.00199908	2.745807365
0.001999085	2.687138789
0.00199909	2.627848573
0.001999095	2.567952578
0.0019991	2.507466689
0.001999105	2.446407024
0.00199911	2.384789724
0.001999115	2.322631104
0.00199912	2.259947564
0.001999125	2.196755645
0.00199913	2.133071916
0.001999135	2.068913147
0.00199914	2.004296164
0.001999145	1.939237848
0.00199915	1.873755139
0.001999155	1.807865146
0.00199916	1.741585038
0.001999165	1.67493198
0.00199917	1.607923338
0.001999175	1.540576363
0.00199918	1.472908508
0.001999185	1.404937251
0.00199919	1.336680043
0.001999195	1.268154506
0.0019992	1.199378204
0.001999205	1.13036873
0.00199921	1.06114382
0.001999215	0.991721123
0.00199922	0.922118346
0.001999225	0.852353196
0.00199923	0.782443465
0.001999235	0.712406859
0.00199924	0.64226117
0.001999245	0.572024106
0.00199925	0.501713458
0.001999255	0.431346962
0.00199926	0.360942295
0.001999265	0.290517193
0.00199927	0.22008939
0.001999275	0.149676481
0.00199928	0.079296115
0.001999285	0.008965856
0.00199929	-0.061296731
0.001999295	-0.13147411
0.0019993	-0.201548858
0.001999305	-0.271503581
0.00199931	-0.341320941
0.001999315	-0.410983631
0.00199932	-0.480474398
0.001999325	-0.549776217
